#Frame         Rg_all  Rg_all[Max]
     940      17.4444      35.7984
     942      17.4447      36.1397
     944      17.4394      35.5729
     946      17.4510      35.8691
     948      17.4491      35.5688
     950      17.4420      35.4673
     952      17.4356      35.7423
     954      17.4363      35.6995
     956      17.4386      35.3930
     958      17.4429      35.8513
     960      17.4154      35.5214
     962      17.4337      35.7197
     964      17.4347      35.5793
     966      17.4503      35.5555
     968      17.4313      36.0353
     970      17.4451      35.6408
     972      17.4408      35.6079
     974      17.4414      35.6618
     976      17.4296      35.5367
     978      17.4242      35.4849
     980      17.4412      35.6411
     982      17.4340      35.5050
     984      17.4422      35.7231
     986      17.4499      35.5699
     988      17.4338      35.6904
     990      17.4354      35.4039
     992      17.4199      35.3033
     994      17.4210      36.0182
     996      17.4374      35.5616
     998      17.4364      35.3826
    1000      17.4308      35.5537
    1002      17.4255      36.3656
    1004      17.4055      35.8951
    1006      17.4126      35.9196
    1008      17.4043      35.7327
    1010      17.4317      35.4457
    1012      17.4474      36.0572
    1014      17.4578      35.7583
    1016      17.4524      35.8058
    1018      17.4381      35.5279
    1020      17.4500      35.5323
    1022      17.4684      35.7568
    1024      17.4324      35.3042
    1026      17.3967      36.0947
    1028      17.4390      38.0806
    1030      17.4754      37.4655
    1032      17.4193      37.3786
    1034      17.4123      36.3920
    1036      17.4400      36.7948
    1038      17.4698      37.7839
    1040      17.4336      38.3833
    1042      17.4335      36.9522
    1044      17.4506      36.8040
    1046      17.4671      36.6590
    1048      17.4438      36.3507
    1050      17.4302      36.2640
    1052      17.4415      37.5245
    1054      17.3957      37.4663
    1056      17.4431      36.4346
    1058      17.4231      35.7144
    1060      17.4344      36.5363
    1062      17.4328      36.2074
    1064      17.4456      36.7772
    1066      17.4763      36.6300
    1068      17.4395      37.3650
    1070      17.4468      35.8642
    1072      17.4404      37.0740
    1074      17.4468      36.7385
    1076      17.4499      36.7416
    1078      17.4244      36.0001
    1080      17.4208      36.4633
    1082      17.4322      36.7048
    1084      17.4280      37.2662
    1086      17.4298      37.5914
    1088      17.4086      36.7500
    1090      17.4009      37.6803
    1092      17.4227      36.3180
    1094      17.3848      37.1800
    1096      17.3888      35.8437
    1098      17.4368      36.4239
    1100      17.3910      36.1556
    1102      17.4526      36.5614
    1104      17.4215      36.7530
    1106      17.4171      37.0006
    1108      17.4062      36.1043
    1110      17.4236      35.6402
    1112      17.4489      35.9315
    1114      17.4486      35.6586
    1116      17.4645      36.1061
    1118      17.4392      36.2204
    1120      17.4723      36.9747
    1122      17.4382      36.2314
    1124      17.4425      35.8562
    1126      17.4461      35.4969
    1128      17.4469      35.6706
    1130      17.4224      36.1997
    1132      17.4365      35.9005
    1134      17.4308      36.7094
    1136      17.4326      35.8793
    1138      17.4371      36.3621
    1140      17.4249      35.1955
    1142      17.4636      36.0763
    1144      17.4504      35.5275
    1146      17.4505      35.9446
    1148      17.4631      36.0878
    1150      17.4523      35.4044
    1152      17.4769      35.8556
    1154      17.4715      36.5002
    1156      17.4670      36.1048
    1158      17.4994      38.2190
    1160      17.4616      36.1722
    1162      17.4395      36.1537
    1164      17.4579      36.2452
    1166      17.4540      36.2086
    1168      17.4244      37.1233
    1170      17.4538      34.9908
    1172      17.4478      35.8666
    1174      17.4274      36.6749
    1176      17.4321      35.4358
    1178      17.4310      35.2794
    1180      17.4351      36.0084
    1182      17.4363      35.7154
    1184      17.4443      35.4503
    1186      17.4176      35.9202
    1188      17.4385      35.8472
    1190      17.4329      35.1772
    1192      17.3982      35.2489
    1194      17.4410      36.7021
    1196      17.4359      35.1429
    1198      17.4176      35.8900
    1200      17.4180      35.8320
    1202      17.4358      35.1951
    1204      17.4462      35.5227
    1206      17.4366      35.0796
    1208      17.4352      35.1857
    1210      17.4521      36.6735
    1212      17.4538      37.1355
    1214      17.4324      38.2740
    1216      17.4164      37.4931
    1218      17.4415      37.7468
    1220      17.4507      36.2863
    1222      17.4488      36.7454
    1224      17.4936      37.5103
    1226      17.4733      37.6861
    1228      17.4389      38.0312
    1230      17.4281      38.0652
    1232      17.4352      38.0258
    1234      17.4497      38.2872
    1236      17.4562      38.7297
    1238      17.4559      38.4700
    1240      17.4515      38.5810
    1242      17.4563      38.3178
    1244      17.4500      38.8848
    1246      17.4453      38.2214
    1248      17.4604      38.0380
    1250      17.4340      37.1675
    1252      17.4419      37.4063
    1254      17.4436      37.8452
    1256      17.4521      38.3046
    1258      17.4440      38.3011
    1260      17.4313      38.1370
    1262      17.4543      37.3094
    1264      17.4477      37.9516
    1266      17.4381      38.0476
    1268      17.4360      37.1382
    1270      17.4375      37.0397
    1272      17.4640      37.8170
    1274      17.4336      38.9013
    1276      17.4047      38.5046
    1278      17.4248      37.4278
    1280      17.4670      38.3732
    1282      17.4677      38.4457
    1284      17.4239      38.6736
    1286      17.4260      37.0694
    1288      17.4314      36.9372
    1290      17.4466      36.5777
    1292      17.4381      36.4128
    1294      17.4304      37.1393
    1296      17.4285      36.4029
    1298      17.4199      36.6244
    1300      17.4830      35.8017
    1302      17.4300      36.2411
    1304      17.4067      35.5307
    1306      17.4109      36.3462
    1308      17.4431      36.7625
    1310      17.4703      36.5303
    1312      17.4472      36.6088
    1314      17.4075      36.8549
    1316      17.4642      36.1533
    1318      17.4422      36.4344
    1320      17.4289      36.1688
    1322      17.4095      36.9042
    1324      17.4338      36.8083
    1326      17.4174      35.5556
    1328      17.4213      36.5730
    1330      17.4188      36.9809
    1332      17.4494      36.0185
    1334      17.4308      36.6717
    1336      17.4218      35.9877
    1338      17.4345      37.0402
    1340      17.4404      35.6077
    1342      17.4351      35.5535
    1344      17.4507      35.8500
    1346      17.4159      36.0070
    1348      17.4287      36.5406
    1350      17.4124      36.3036
    1352      17.4183      36.6045
    1354      17.4517      36.0299
    1356      17.3986      36.4797
    1358      17.4034      35.8154
    1360      17.3996      35.7081
    1362      17.4004      35.2616
    1364      17.4079      35.0723
    1366      17.4498      36.5224
    1368      17.4078      35.5531
    1370      17.4324      35.9123
    1372      17.3737      35.4941
    1374      17.4260      36.3484
    1376      17.4045      36.5718
    1378      17.4196      36.2873
    1380      17.4111      35.9532
    1382      17.4510      35.6500
    1384      17.4396      35.0466
    1386      17.4027      35.2030
    1388      17.4523      36.1806
    1390      17.3998      35.2260
    1392      17.4340      35.2273
    1394      17.4533      35.6777
    1396      17.4181      35.6047
    1398      17.4159      35.3117
    1400      17.4475      36.2932
    1402      17.4008      35.3492
    1404      17.4237      35.2690
    1406      17.3896      35.3501
    1408      17.3941      36.0647
    1410      17.3874      35.9287
    1412      17.3937      35.7970
    1414      17.4060      35.9722
    1416      17.4283      36.5987
    1418      17.4230      36.0272
    1420      17.4328      35.9600
    1422      17.4190      36.2035
    1424      17.3897      35.8928
    1426      17.4128      36.1461
    1428      17.4057      36.4406
    1430      17.4052      36.2248
    1432      17.4169      35.6288
    1434      17.3892      35.7833
    1436      17.4428      36.2808
    1438      17.3789      36.1531
    1440      17.4226      36.3236
    1442      17.3955      35.7980
    1444      17.3784      36.2419
    1446      17.4139      35.6086
    1448      17.4035      36.0477
    1450      17.3648      36.1776
    1452      17.4015      35.8497
    1454      17.3918      35.9822
    1456      17.3808      35.5230
    1458      17.4312      35.6401
    1460      17.3974      35.9078
    1462      17.4167      36.0411
    1464      17.4046      35.7690
    1466      17.4297      36.0548
    1468      17.4228      36.0346
    1470      17.3765      36.7790
    1472      17.3835      35.9020
    1474      17.3911      36.3552
    1476      17.3903      35.9226
    1478      17.3897      36.3692
    1480      17.4100      36.3830
    1482      17.4072      37.0431
    1484      17.3854      36.2581
    1486      17.3937      36.4632
    1488      17.3685      35.9086
    1490      17.3885      36.1822
    1492      17.3846      35.4415
    1494      17.3680      36.3012
    1496      17.3881      35.4419
    1498      17.3913      35.7435
    1500      17.3885      35.9243
    1502      17.3745      35.5539
    1504      17.3699      35.7753
    1506      17.3848      35.8878
    1508      17.3761      35.6749
    1510      17.3835      36.0189
    1512      17.3881      36.0818
    1514      17.3821      35.9243
    1516      17.3626      36.0053
    1518      17.3982      36.1423
    1520      17.4074      34.6753
    1522      17.4168      35.9493
    1524      17.3963      35.9533
    1526      17.4108      36.0499
    1528      17.3797      35.3060
    1530      17.3631      35.7252
    1532      17.4164      35.8016
    1534      17.4096      35.1944
    1536      17.3983      35.6043
    1538      17.3788      35.8246
    1540      17.4154      35.0629
    1542      17.3877      35.3095
    1544      17.4146      35.7044
    1546      17.3869      35.8543
    1548      17.3778      35.6883
    1550      17.3736      35.9407
    1552      17.3270      35.5439
    1554      17.3595      35.6331
    1556      17.3545      36.9487
    1558      17.3904      36.2576
    1560      17.3679      35.7068
    1562      17.3947      36.6289
    1564      17.4014      36.0346
    1566      17.3729      36.2235
    1568      17.4085      35.5781
    1570      17.3684      36.0669
    1572      17.3720      35.9459
    1574      17.3715      35.5484
    1576      17.3975      36.3290
    1578      17.3455      35.5530
    1580      17.3686      35.3651
    1582      17.3737      35.7430
    1584      17.3698      35.8759
    1586      17.4144      36.0682
    1588      17.3726      35.6239
    1590      17.3955      35.8145
    1592      17.3953      36.4207
    1594      17.4050      36.3286
    1596      17.3737      36.0060
    1598      17.3861      36.1688
    1600      17.4236      36.6948
    1602      17.3865      36.5229
    1604      17.3809      36.1948
    1606      17.4044      35.6916
    1608      17.3878      36.0242
    1610      17.3729      36.4996
    1612      17.3816      36.1741
    1614      17.3810      36.1739
    1616      17.3816      35.8296
    1618      17.4416      36.0192
    1620      17.3876      36.0631
    1622      17.3827      36.0213
    1624      17.4097      35.8712
    1626      17.3971      36.0438
    1628      17.3963      35.4609
    1630      17.3953      35.3402
    1632      17.3781      35.8315
    1634      17.3993      36.0249
    1636      17.4203      36.5998
    1638      17.4341      36.2652
    1640      17.3764      35.3429
    1642      17.3992      35.9938
    1644      17.3835      36.6236
    1646      17.3986      36.4071
    1648      17.3964      36.3098
    1650      17.3862      36.4787
    1652      17.3923      35.6940
    1654      17.3750      35.9952
    1656      17.4128      35.7180
    1658      17.3622      36.0286
    1660      17.4096      36.2131
    1662      17.3968      36.5664
    1664      17.4103      36.4433
    1666      17.4313      36.5556
    1668      17.3762      36.1984
    1670      17.3781      36.4092
    1672      17.4307      35.9963
    1674      17.4081      35.9938
    1676      17.4090      36.0782
    1678      17.4289      35.2866
    1680      17.4322      35.2376
    1682      17.4063      34.9110
    1684      17.4224      35.8987
    1686      17.4072      35.5003
    1688      17.4098      36.1704
    1690      17.4453      35.5849
    1692      17.4238      35.8688
    1694      17.4187      35.4461
    1696      17.4096      35.4818
    1698      17.4088      35.7761
    1700      17.4058      35.6692
    1702      17.4243      35.1767
    1704      17.4091      35.5008
    1706      17.3870      36.1483
    1708      17.4026      35.2647
    1710      17.4071      35.5823
    1712      17.4064      35.5604
    1714      17.4040      35.5160
    1716      17.4153      35.6480
    1718      17.4098      36.1745
    1720      17.3935      36.1854
    1722      17.3894      36.5292
    1724      17.4115      36.1517
    1726      17.4517      36.5597
    1728      17.4147      36.6025
    1730      17.4317      36.3339
    1732      17.4109      35.9180
    1734      17.3945      35.1421
    1736      17.3942      35.6040
    1738      17.3710      36.2395
    1740      17.4301      35.8941
    1742      17.3808      35.8455
    1744      17.4365      36.0949
    1746      17.4199      36.2115
    1748      17.4291      35.7424
    1750      17.4347      35.8753
    1752      17.4291      36.3277
    1754      17.4145      36.0897
    1756      17.4069      35.8950
    1758      17.4307      35.6490
    1760      17.4625      36.4667
    1762      17.4307      36.4544
    1764      17.4474      36.0016
    1766      17.4038      35.6734
    1768      17.3963      35.3995
    1770      17.4069      36.1049
    1772      17.4330      36.4394
    1774      17.4286      36.2658
    1776      17.4324      36.4313
    1778      17.4076      36.2591
    1780      17.4284      36.2857
    1782      17.4110      36.4430
    1784      17.4095      36.3329
    1786      17.3830      35.8514
    1788      17.4078      36.0325
    1790      17.4139      35.6296
    1792      17.4379      36.0718
    1794      17.4290      36.3204
    1796      17.4258      36.2940
    1798      17.3878      35.9949
    1800      17.4198      36.5244
    1802      17.4080      35.2450
    1804      17.4244      36.1041
    1806      17.4056      35.9515
    1808      17.4156      35.7910
    1810      17.4231      35.8626
    1812      17.4167      36.5291
    1814      17.4249      37.2053
    1816      17.4147      36.0420
    1818      17.4107      35.8140
    1820      17.3896      36.2817
    1822      17.4173      36.2219
    1824      17.3932      35.7403
    1826      17.4144      35.9039
    1828      17.3817      36.0297
    1830      17.3692      35.8724
    1832      17.3891      36.1750
    1834      17.4014      36.3609
    1836      17.4302      36.4883
    1838      17.4127      35.9006
    1840      17.3805      35.7453
    1842      17.3707      36.1345
    1844      17.4016      36.0055
    1846      17.3998      35.8071
    1848      17.4186      36.2659
    1850      17.3987      36.0394
    1852      17.3962      35.8489
    1854      17.4236      36.1333
    1856      17.4082      36.0839
    1858      17.4018      35.8753
    1860      17.3758      35.2321
    1862      17.4059      35.5613
    1864      17.4370      36.0570
    1866      17.4251      35.6953
    1868      17.3978      35.8446
    1870      17.4104      36.3709
    1872      17.3695      36.0096
    1874      17.3998      36.9719
    1876      17.4303      36.0020
    1878      17.4119      36.7282
    1880      17.3884      36.0854
    1882      17.3944      35.5208
    1884      17.3938      35.5530
    1886      17.4076      35.4987
    1888      17.3853      35.7851
    1890      17.4521      36.3836
    1892      17.4147      36.1987
    1894      17.4386      36.5120
    1896      17.3926      36.7580
    1898      17.4211      36.5684
    1900      17.3999      36.3473
    1902      17.3986      35.9206
    1904      17.4102      36.4525
    1906      17.4204      36.0534
    1908      17.4302      35.8521
    1910      17.3913      36.1084
    1912      17.4338      36.1633
    1914      17.4046      36.1791
    1916      17.4335      36.6030
    1918      17.3862      36.0372
    1920      17.3650      36.4363
    1922      17.4281      35.9690
    1924      17.4209      35.9251
    1926      17.4139      36.2992
    1928      17.4118      36.3054
    1930      17.4023      36.0993
    1932      17.3991      36.1842
    1934      17.3966      36.3546
    1936      17.4025      35.7799
    1938      17.3779      34.9317
    1940      17.3939      36.5887
    1942      17.4000      35.8283
    1944      17.4365      35.9401
    1946      17.3948      35.4116
    1948      17.4335      36.7070
    1950      17.4142      36.4436
    1952      17.4424      36.6780
    1954      17.3959      35.9923
    1956      17.4203      36.3769
    1958      17.4322      35.7493
    1960      17.4669      37.3314
    1962      17.4251      36.5060
    1964      17.3979      36.5180
    1966      17.4149      37.5419
    1968      17.4619      38.1940
    1970      17.4292      37.7241
    1972      17.4181      38.1224
    1974      17.4364      38.3626
    1976      17.4480      38.1451
    1978      17.4202      38.3732
    1980      17.4358      38.2125
    1982      17.4207      38.2620
    1984      17.4511      38.7414
    1986      17.4355      39.4143
    1988      17.4681      39.2969
    1990      17.4354      39.2266
    1992      17.4447      39.3173
    1994      17.4425      38.7747
    1996      17.4377      38.7548
    1998      17.4568      38.6265
    2000      17.4440      37.4526
    2002      17.3945      37.8616
    2004      17.4202      36.9310
    2006      17.4472      36.3988
    2008      17.4209      37.3658
    2010      17.4428      37.8978
    2012      17.4180      37.1800
    2014      17.4363      39.4022
    2016      17.4062      39.6955
    2018      17.4309      38.8351
    2020      17.4167      37.6171
    2022      17.4123      39.3309
    2024      17.4664      38.4082
    2026      17.4481      38.9295
    2028      17.4273      38.3570
    2030      17.4513      38.2876
    2032      17.4748      38.1841
    2034      17.4400      38.0021
    2036      17.4575      38.7275
    2038      17.4598      36.0889
    2040      17.3915      36.3424
    2042      17.3767      36.6188
    2044      17.3729      36.3668
    2046      17.3812      36.1248
    2048      17.3836      35.6895
    2050      17.4127      36.4363
    2052      17.4180      36.1398
    2054      17.4233      36.2076
    2056      17.3860      36.5039
    2058      17.4039      36.3874
