#Frame     3.5[lower]   3.5[upper]
    1347            2            2
    1348            2            4
    1349            2            4
    1350            2            3
    1351            2            3
    1352            2            3
    1353            2            3
    1354            2            3
    1355            2            3
    1356            2            2
    1357            2            3
    1358            2            2
    1359            2            3
    1360            1            2
    1361            2            2
    1362            2            2
    1363            1            2
    1364            1            2
    1365            1            3
    1366            2            2
    1367            2            3
    1368            2            3
    1369            2            2
    1370            2            3
    1371            2            2
    1372            2            4
    1373            2            3
    1374            2            3
    1375            2            3
    1376            2            3
    1377            2            3
    1378            2            3
    1379            2            2
    1380            2            3
    1381            2            3
    1382            2            4
    1383            2            3
    1384            2            4
    1385            1            3
    1386            2            3
    1387            1            2
    1388            1            2
    1389            1            2
    1390            1            2
    1391            1            1
    1392            1            1
    1393            1            1
    1394            1            1
    1395            1            1
    1396            1            1
    1397            1            2
    1398            1            1
    1399            1            2
    1400            1            2
    1401            1            1
    1402            1            1
    1403            1            1
    1404            1            1
    1405            1            2
    1406            1            1
    1407            1            3
    1408            1            2
    1409            1            2
    1410            1            2
    1411            1            1
    1412            1            2
    1413            1            1
    1414            1            2
    1415            1            2
    1416            1            1
    1417            1            2
    1418            2            2
    1419            1            2
    1420            2            3
    1421            2            3
    1422            2            3
    1423            1            2
    1424            1            1
    1425            1            3
    1426            1            1
    1427            1            2
    1428            1            3
    1429            1            3
    1430            1            2
    1431            1            2
    1432            1            2
    1433            1            2
    1434            1            1
    1435            1            1
    1436            1            1
    1437            1            2
    1438            1            3
    1439            1            2
    1440            1            2
    1441            1            1
    1442            1            2
    1443            1            2
    1444            1            2
    1445            0            2
    1446            0            2
    1447            1            2
    1448            1            2
    1449            1            2
    1450            1            1
    1451            1            2
    1452            1            2
    1453            1            1
    1454            1            2
    1455            1            2
    1456            1            1
    1457            1            1
    1458            1            1
    1459            1            1
    1460            1            1
    1461            1            2
    1462            1            1
    1463            1            1
    1464            1            1
    1465            1            2
    1466            0            2
    1467            1            3
    1468            1            2
    1469            1            1
    1470            1            1
    1471            1            3
    1472            1            2
    1473            1            2
    1474            1            2
    1475            2            3
    1476            1            3
    1477            1            2
    1478            1            2
    1479            1            2
    1480            1            2
    1481            2            3
    1482            2            2
    1483            2            3
    1484            2            2
    1485            2            2
    1486            2            3
    1487            2            3
    1488            2            2
    1489            1            3
    1490            1            2
    1491            1            2
    1492            1            2
    1493            1            2
    1494            1            2
    1495            1            2
    1496            1            1
    1497            1            1
    1498            1            2
    1499            1            2
    1500            1            3
    1501            1            1
    1502            1            2
    1503            1            2
    1504            1            2
    1505            1            2
    1506            1            1
    1507            1            3
    1508            1            2
    1509            1            3
    1510            1            1
    1511            1            2
    1512            1            2
    1513            1            3
    1514            1            2
    1515            1            2
    1516            2            3
    1517            2            2
    1518            2            3
    1519            2            2
    1520            2            3
    1521            2            3
    1522            1            1
    1523            1            1
    1524            1            1
    1525            1            2
    1526            1            2
    1527            1            1
    1528            1            2
    1529            1            1
    1530            1            1
    1531            1            3
    1532            1            3
    1533            1            2
    1534            1            2
    1535            2            2
    1536            2            2
    1537            2            3
    1538            2            2
    1539            2            3
    1540            1            3
    1541            2            3
    1542            2            3
    1543            2            3
    1544            2            2
    1545            2            3
    1546            2            3
    1547            2            3
    1548            2            2
    1549            2            3
    1550            2            2
    1551            1            2
    1552            2            3
    1553            2            3
    1554            2            2
    1555            2            3
    1556            2            2
    1557            2            2
    1558            2            3
    1559            2            3
    1560            2            3
    1561            2            3
    1562            2            3
    1563            2            3
    1564            2            3
    1565            2            3
    1566            2            2
    1567            2            3
    1568            2            3
    1569            2            2
    1570            2            3
    1571            2            4
    1572            2            2
    1573            2            3
    1574            2            3
    1575            2            3
    1576            2            2
    1577            2            3
    1578            2            3
    1579            2            3
    1580            2            2
    1581            2            2
    1582            2            2
    1583            2            3
    1584            2            3
    1585            2            3
    1586            1            2
    1587            1            1
    1588            1            1
    1589            1            2
    1590            1            2
    1591            1            1
    1592            1            1
    1593            1            1
    1594            1            2
    1595            1            2
    1596            1            2
    1597            2            3
    1598            2            3
    1599            2            2
    1600            1            1
    1601            1            2
    1602            1            2
    1603            1            2
    1604            1            2
    1605            1            2
    1606            1            2
    1607            1            2
    1608            1            1
    1609            1            2
    1610            1            2
    1611            1            2
    1612            1            2
    1613            1            2
    1614            1            3
    1615            1            1
    1616            1            2
    1617            1            2
    1618            1            1
    1619            1            1
    1620            1            2
    1621            1            2
    1622            1            1
    1623            1            1
    1624            1            1
    1625            2            2
    1626            2            2
    1627            2            3
    1628            2            3
    1629            2            2
    1630            2            3
    1631            2            3
    1632            2            4
    1633            2            3
    1634            2            2
    1635            2            2
    1636            2            2
    1637            2            2
    1638            2            2
    1639            2            3
    1640            2            3
    1641            2            4
    1642            2            3
    1643            2            4
    1644            2            3
    1645            2            3
    1646            2            3
    1647            2            2
    1648            2            2
    1649            2            3
    1650            2            3
    1651            1            3
    1652            2            3
    1653            2            2
    1654            2            2
    1655            2            3
    1656            2            3
    1657            2            2
    1658            2            3
    1659            2            2
    1660            2            2
    1661            2            2
    1662            2            2
    1663            2            3
    1664            2            3
    1665            1            2
    1666            1            3
    1667            1            3
    1668            2            3
    1669            1            2
    1670            1            1
    1671            2            3
    1672            2            2
    1673            2            2
    1674            1            2
    1675            2            2
    1676            2            3
    1677            2            2
    1678            2            3
    1679            2            2
    1680            2            2
    1681            2            3
    1682            2            4
    1683            2            2
    1684            2            3
    1685            2            3
    1686            2            4
    1687            2            3
    1688            2            3
    1689            1            1
    1690            1            2
    1691            1            1
    1692            1            2
    1693            1            2
    1694            1            3
    1695            1            2
    1696            1            3
    1697            1            2
    1698            1            2
    1699            1            1
    1700            1            2
    1701            1            2
    1702            1            2
    1703            1            2
    1704            1            2
    1705            1            3
    1706            1            3
    1707            1            3
    1708            1            1
    1709            1            2
    1710            2            3
    1711            2            3
    1712            2            2
    1713            2            2
    1714            2            2
    1715            2            2
    1716            2            4
    1717            2            2
    1718            2            4
    1719            2            3
    1720            2            2
    1721            1            2
    1722            1            2
    1723            1            2
    1724            1            2
    1725            2            2
    1726            1            2
    1727            2            2
    1728            1            2
    1729            1            2
    1730            1            2
    1731            1            2
    1732            1            2
    1733            1            2
    1734            1            2
    1735            2            2
    1736            2            2
    1737            2            2
    1738            1            2
    1739            1            1
    1740            1            2
    1741            1            2
    1742            1            2
    1743            1            2
    1744            1            1
    1745            1            2
    1746            1            1
    1747            1            2
    1748            1            1
    1749            1            2
    1750            1            2
    1751            1            2
    1752            1            2
    1753            1            1
    1754            1            2
    1755            1            2
    1756            1            2
    1757            1            2
    1758            1            2
    1759            1            2
    1760            1            2
    1761            1            2
    1762            2            2
    1763            2            2
    1764            1            2
    1765            1            1
    1766            1            2
    1767            1            2
    1768            1            3
    1769            1            2
    1770            1            2
    1771            1            2
    1772            1            2
    1773            1            2
    1774            1            2
    1775            1            2
    1776            1            2
    1777            1            2
    1778            1            2
    1779            1            2
    1780            1            1
    1781            1            2
    1782            1            2
    1783            1            2
    1784            1            2
    1785            1            1
    1786            1            2
    1787            1            2
    1788            1            2
    1789            1            2
    1790            1            2
    1791            1            2
    1792            1            2
    1793            1            2
    1794            1            2
    1795            1            2
    1796            1            2
    1797            1            1
    1798            2            2
    1799            1            2
    1800            1            2
    1801            1            2
    1802            1            2
    1803            1            2
    1804            2            2
    1805            1            2
    1806            1            2
    1807            1            2
    1808            1            2
    1809            1            2
    1810            1            2
    1811            1            2
    1812            1            2
    1813            1            2
    1814            1            1
    1815            1            2
    1816            1            2
    1817            1            2
    1818            1            1
    1819            1            2
    1820            1            2
    1821            1            2
    1822            1            2
    1823            1            2
    1824            1            2
    1825            1            2
    1826            1            2
    1827            1            2
    1828            1            1
    1829            1            2
    1830            1            2
    1831            1            1
    1832            1            2
    1833            1            2
    1834            1            2
    1835            1            2
    1836            1            3
    1837            1            2
    1838            1            2
    1839            1            1
    1840            1            3
    1841            1            1
    1842            1            1
    1843            0            2
    1844            1            1
    1845            1            2
    1846            1            2
    1847            1            2
    1848            1            2
    1849            1            2
    1850            1            2
    1851            1            2
    1852            1            2
    1853            1            2
    1854            1            2
    1855            1            2
    1856            1            2
    1857            1            1
    1858            1            2
    1859            1            2
    1860            1            2
    1861            1            2
    1862            1            2
    1863            1            1
    1864            1            2
