#Frame     3.5[lower]   3.5[upper]
    1179            0            3
    1180            0            3
    1181            0            2
    1182            0            3
    1183            0            4
    1184            0            4
    1185            0            2
    1186            0            2
    1187            0            2
    1188            0            3
    1189            0            2
    1190            0            4
    1191            0            1
    1192            0            4
    1193            1            3
    1194            0            4
    1195            0            2
    1196            1            3
    1197            0            1
    1198            0            3
    1199            0            2
    1200            0            3
    1201            1            3
    1202            1            2
    1203            1            3
    1204            1            4
    1205            1            4
    1206            0            3
    1207            0            3
    1208            0            3
    1209            1            4
    1210            1            3
    1211            1            4
    1212            1            3
    1213            1            3
    1214            1            4
    1215            1            3
    1216            1            4
    1217            1            3
    1218            1            3
    1219            1            4
    1220            1            2
    1221            1            3
    1222            1            3
    1223            1            3
    1224            0            5
    1225            0            3
    1226            0            4
    1227            0            2
    1228            0            1
    1229            0            0
    1230            0            2
    1231            0            1
    1232            0            2
    1233            1            3
    1234            0            2
    1235            1            2
    1236            1            4
    1237            1            4
    1238            1            3
    1239            1            2
    1240            1            3
    1241            1            3
    1242            1            3
    1243            1            2
    1244            1            4
    1245            1            3
    1246            1            4
    1247            0            4
    1248            1            3
    1249            1            2
    1250            1            2
    1251            1            3
    1252            1            4
    1253            1            2
    1254            1            4
    1255            1            2
    1256            1            4
    1257            1            4
    1258            1            3
    1259            1            4
    1260            1            3
    1261            1            4
    1262            1            3
    1263            1            3
    1264            1            4
    1265            1            4
    1266            1            3
    1267            1            4
    1268            1            2
    1269            1            4
    1270            1            3
    1271            1            2
    1272            1            3
    1273            1            4
    1274            0            3
    1275            0            2
    1276            0            3
    1277            1            3
    1278            1            5
    1279            0            4
    1280            1            4
    1281            1            4
    1282            0            4
    1283            1            2
    1284            0            4
    1285            1            4
    1286            0            3
    1287            0            4
    1288            1            3
    1289            1            2
    1290            1            3
    1291            1            4
    1292            2            4
    1293            0            2
    1294            1            3
    1295            1            4
    1296            0            2
    1297            1            3
    1298            1            3
    1299            0            1
    1300            0            2
    1301            1            1
    1302            0            4
    1303            1            2
    1304            1            2
    1305            1            2
    1306            0            2
    1307            1            3
    1308            1            3
    1309            0            2
    1310            0            2
    1311            1            3
    1312            1            2
    1313            1            4
    1314            1            4
    1315            1            4
    1316            1            4
    1317            1            4
    1318            1            3
    1319            1            3
    1320            0            2
    1321            0            5
    1322            1            4
    1323            1            5
    1324            2            5
    1325            2            5
    1326            1            4
    1327            1            5
    1328            1            4
    1329            1            5
    1330            1            6
    1331            1            5
    1332            1            5
    1333            1            5
    1334            0            4
    1335            0            4
    1336            1            6
    1337            2            4
    1338            1            4
    1339            1            5
    1340            1            4
    1341            1            5
    1342            2            4
    1343            1            4
    1344            2            5
    1345            2            5
    1346            2            5
    1347            1            4
    1348            1            5
    1349            2            5
    1350            1            5
    1351            1            6
    1352            1            4
    1353            2            5
    1354            1            3
    1355            1            4
    1356            1            4
    1357            0            5
    1358            1            3
    1359            1            4
    1360            1            4
    1361            1            5
    1362            0            5
    1363            1            3
    1364            1            3
    1365            0            2
    1366            1            5
    1367            1            5
    1368            0            5
    1369            1            5
    1370            1            5
    1371            1            4
    1372            2            5
    1373            0            4
    1374            1            5
    1375            2            4
    1376            2            5
    1377            2            4
    1378            2            5
    1379            1            5
    1380            0            3
    1381            1            5
    1382            1            5
    1383            1            4
    1384            2            3
    1385            1            4
    1386            1            5
    1387            1            3
    1388            1            3
    1389            1            3
    1390            1            5
    1391            2            4
    1392            2            7
    1393            2            6
    1394            2            6
    1395            2            4
    1396            2            7
    1397            1            3
    1398            2            5
    1399            1            3
    1400            0            4
    1401            1            4
    1402            1            3
    1403            1            3
    1404            1            3
    1405            1            3
    1406            1            3
    1407            1            3
    1408            1            4
    1409            1            2
    1410            1            3
    1411            0            4
    1412            1            4
    1413            1            4
    1414            0            4
    1415            1            4
    1416            1            3
    1417            1            4
    1418            1            3
    1419            0            3
    1420            1            5
    1421            1            5
    1422            1            4
    1423            1            4
    1424            1            3
    1425            0            2
    1426            1            3
    1427            1            3
    1428            0            4
    1429            0            3
    1430            1            4
    1431            1            3
    1432            1            2
    1433            1            2
    1434            1            2
    1435            1            2
    1436            0            2
    1437            0            4
    1438            0            3
    1439            0            3
    1440            0            4
    1441            0            3
    1442            0            3
    1443            0            3
    1444            0            4
    1445            0            1
    1446            0            2
    1447            0            4
    1448            0            4
    1449            0            1
    1450            0            4
    1451            0            2
    1452            0            3
    1453            0            2
    1454            0            3
    1455            0            2
    1456            0            3
    1457            0            2
    1458            0            3
    1459            0            2
    1460            0            3
    1461            0            3
    1462            0            2
    1463            0            3
    1464            1            2
    1465            1            3
    1466            1            3
    1467            0            4
    1468            1            3
    1469            1            5
    1470            1            4
    1471            0            2
    1472            1            3
    1473            1            3
    1474            1            3
    1475            1            4
    1476            0            3
    1477            1            4
    1478            1            4
    1479            1            3
    1480            1            4
    1481            1            5
    1482            1            5
    1483            0            5
    1484            1            5
    1485            1            4
    1486            1            4
    1487            0            4
    1488            1            5
    1489            1            3
    1490            1            3
    1491            0            3
    1492            1            3
    1493            1            3
    1494            1            3
    1495            0            2
    1496            1            4
    1497            1            2
    1498            1            2
    1499            1            3
    1500            0            3
    1501            1            3
    1502            1            4
    1503            1            3
    1504            1            4
    1505            1            3
    1506            1            3
    1507            0            3
    1508            1            3
    1509            0            4
    1510            1            4
    1511            1            6
    1512            1            6
    1513            1            8
    1514            1            5
    1515            0            4
    1516            1            6
    1517            2            4
    1518            2            6
    1519            1            6
    1520            2            8
    1521            1            5
    1522            2            6
    1523            1            7
    1524            2            5
    1525            2            5
    1526            2            6
    1527            2            6
    1528            2            5
    1529            2            5
    1530            1            6
    1531            2            6
    1532            3            5
    1533            1            8
    1534            2            8
    1535            4            7
    1536            4            5
    1537            4            5
    1538            2            7
    1539            3            6
    1540            2            5
    1541            1            7
    1542            1            5
    1543            1            5
    1544            1            4
    1545            1            6
    1546            1            7
    1547            0            7
    1548            1            7
    1549            1            9
    1550            1            9
    1551            1            7
    1552            2            8
    1553            1            9
    1554            1            7
    1555            3            7
    1556            1            9
    1557            2            8
    1558            1           10
    1559            2            8
    1560            2            8
    1561            2            9
    1562            2            7
    1563            0           10
    1564            2            6
    1565            3            7
    1566            1            5
    1567            2            5
    1568            1            6
    1569            1            6
    1570            2            5
    1571            2            4
    1572            1            6
    1573            2            7
    1574            1            7
    1575            1            6
    1576            1            4
    1577            0            3
    1578            0            5
    1579            1            4
